record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:source,record - metadata - oai_dc:dc - dc:language,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:format,record - metadata - oai_dc:dc - dc:subject - xml:lang,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:publisher,record - metadata - oai_dc:dc - dc:type,record - metadata - oai_dc:dc - dc:creator,record - metadata - oai_dc:dc - dc:coverage,record - metadata - oai_dc:dc - dc:description,record - metadata - oai_dc:dc - dc:description - xml:lang,record - metadata - oai_dc:dc - dc:rights,record - metadata - oai_dc:dc - dc:relation,record - header - identifier
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_022.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_022.cmdi
,GEWISS_R_SV_UK_022.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_023.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_023.cmdi
,GEWISS_R_SV_UK_023.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_006.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_006.cmdi
,GEWISS_R_SV_PL_006.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_007.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_007.cmdi
,GEWISS_R_SV_PL_007.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_008.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_008.cmdi
,GEWISS_R_SV_PL_008.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_009.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_009.cmdi
,GEWISS_R_SV_PL_009.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_010.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_010.cmdi
,GEWISS_R_SV_PL_010.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_011.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_011.cmdi
,GEWISS_R_SV_PL_011.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_012.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_012.cmdi
,GEWISS_R_SV_PL_012.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_013.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_013.cmdi
,GEWISS_R_SV_PL_013.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_014.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_014.cmdi
,GEWISS_R_SV_PL_014.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_015.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_015.cmdi
,GEWISS_R_SV_PL_015.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_024.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_024.cmdi
,GEWISS_R_SV_UK_024.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_025.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_025.cmdi
,GEWISS_R_SV_UK_025.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_026.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_026.cmdi
,GEWISS_R_SV_UK_026.cmdi,,,,,,,,,,,,,,,,
