datestamp,relation,type,type - dcmi recommendation,title,creator,language,identifier,format,format - mediatype,format - subtype,date,description,source,publisher,rights,contributor,subject,record id,record - header - setSpec
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:3&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:4&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:5&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:6&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:7&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:8&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:9&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:10&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:11&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:12&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
